DivisionNm,OTH,ALP,LNP,PartyAb,Year
GREY,11.01800437,38.66285266,50.31914297,LNP,2007
GRIFFITH,12.93267953,53.0894466,33.97787386,ALP,2007
GROOM,12.46366366,34.82762763,52.70870871,LNP,2007
HASLUCK,15.58628951,41.47858757,42.93512292,ALP,2007
HERBERT,10.50895094,43.79299811,45.69805096,LNP,2007
HIGGINS,15.31441032,31.07596565,53.60962403,LNP,2007
HINDMARSH,12.71167754,47.20629741,40.08202505,ALP,2007
HINKLER,10.68462838,42.87833287,46.43703875,LNP,2007
HOLT,10.12220727,55.65437416,34.22341857,ALP,2007
HOTHAM,11.09908891,55.14871328,33.75219781,ALP,2007
HUGHES,9.695997318,42.01079994,48.29320274,LNP,2007
HUME,12.89152183,37.92631717,49.182161,LNP,2007
HUNTER,13.04836895,59.94532941,27.00630163,ALP,2007
INDI,13.50320577,32.12029614,54.37649809,LNP,2007
ISAACS,12.77431635,48.75554719,38.47013645,ALP,2007
JAGAJAGA,14.29256869,48.15673731,37.55069401,ALP,2007
KALGOORLIE,11.21379878,40.64754236,48.13865886,LNP,2007
KENNEDY,47.26126411,28.08829067,24.65044522,OTH,2007
KINGSFORD SMITH,13.25208127,52.84574407,33.90217467,ALP,2007
KINGSTON,13.61240344,46.64773292,39.73986363,ALP,2007
KOOYONG,14.8386388,30.02514403,55.13621717,LNP,2007
LA TROBE,13.1315737,40.39257531,46.47585099,LNP,2007
LALOR,10.34587442,59.88736051,29.76676507,ALP,2007
LEICHHARDT,14.09642767,43.11635702,42.78721532,ALP,2007
LILLEY,10.1793969,51.56523197,38.25537113,ALP,2007
LINDSAY,10.45417273,51.39091165,38.15491562,ALP,2007
LINGIARI,11.35044858,53.98582532,34.6637261,ALP,2007
LONGMAN,8.201209496,47.98315953,43.81563097,ALP,2007
LOWE,10.66426011,49.2742202,40.06151969,ALP,2007
LYNE,15.6649212,32.07356252,52.26151628,LNP,2007
LYONS,24.31593216,43.14671206,32.53735578,ALP,2007
MACARTHUR,9.054840646,43.96648482,46.97867453,LNP,2007
MACKELLAR,19.24272932,24.35156613,56.40570455,LNP,2007
MACQUARIE,18.07653288,44.08220958,37.84125754,ALP,2007
MAKIN,10.2859435,51.44690849,38.26714801,ALP,2007
MALLEE,14.20711197,21.84887074,63.9440173,LNP,2007
MARANOA,11.96624451,29.46393553,58.56981996,LNP,2007
MARIBYRNONG,12.41417679,57.5669832,30.01884001,ALP,2007
MAYO,17.80562728,31.11588461,51.07848811,LNP,2007
MCEWEN,14.03044068,40.20404151,45.76551781,LNP,2007
MCMILLAN,11.93078211,38.13558271,49.93363518,LNP,2007
MCPHERSON,9.389087517,35.63118057,54.97973191,LNP,2007
MELBOURNE,26.54289784,49.81733376,23.63976839,ALP,2007
MELBOURNE PORTS,17.85643754,42.46697878,39.67658368,ALP,2007
MENZIES,13.61193036,34.78379793,51.60427172,LNP,2007
MITCHELL,12.24547546,31.01785209,56.73667245,LNP,2007
MONCRIEFF,10.22127649,30.00824098,59.77048253,LNP,2007
MOORE,12.95982696,32.59096925,54.4492038,LNP,2007
MORETON,10.73372605,47.11058087,42.15569309,ALP,2007
MURRAY,13.82519357,24.1078519,62.06695454,LNP,2007
NEW ENGLAND,66.85694151,9.828517735,23.31454076,OTH,2007
NEWCASTLE,23.65367556,50.78478917,25.56153528,ALP,2007
NORTH SYDNEY,12.56582574,35.62154745,51.81262681,LNP,2007
O'CONNOR,16.02666071,20.43067296,63.54266633,LNP,2007
OXLEY,8.760484623,58.56228642,32.67722895,ALP,2007
PAGE,15.27423693,41.67465793,43.05110513,ALP,2007
PARKES,27.85652791,25.36953279,46.7739393,LNP,2007
PARRAMATTA,11.49095358,50.68230478,37.82674164,ALP,2007
PATERSON,9.722818056,42.05515039,48.22203156,LNP,2007
PEARCE,16.17561966,32.01469008,51.80969026,LNP,2007
PERTH,17.14537603,46.87092735,35.98369662,ALP,2007
PETRIE,8.258171585,46.88649975,44.85532867,ALP,2007
PORT ADELAIDE,16.55125954,58.23587229,25.21286817,ALP,2007
PROSPECT,10.66834805,58.1778058,31.15384615,ALP,2007
RANKIN,9.897231622,56.01438508,34.0883833,ALP,2007
REID,12.81880208,60.09592387,27.08527405,ALP,2007
RICHMOND,19.20943475,43.80997963,36.98058562,ALP,2007
RIVERINA,8.425993978,29.00851134,62.56549468,LNP,2007
ROBERTSON,11.44478844,42.92741658,45.62779498,ALP,2007
RYAN,14.07048919,36.40871364,49.52079717,LNP,2007
SCULLIN,12.28972936,63.31703851,24.39323213,ALP,2007
SHORTLAND,12.15323646,56.72718346,31.11958008,ALP,2007
SOLOMON,11.29877694,41.89671908,46.80450398,ALP,2007
STIRLING,12.34574002,40.4405134,47.21374659,LNP,2007
STURT,11.36817705,41.46476075,47.1670622,LNP,2007
SWAN,15.06549617,40.65165942,44.28284441,LNP,2007
SYDNEY,24.31691134,48.98646884,26.69661982,ALP,2007
TANGNEY,17.11118853,32.04170376,50.8471077,LNP,2007
THROSBY,12.31369722,64.9806705,22.70563228,ALP,2007
WAKEFIELD,12.66264422,48.64818184,38.68917394,ALP,2007
WANNON,11.27288926,36.16796793,52.55914281,LNP,2007
WARRINGAH,18.07006616,27.40242799,54.52750585,LNP,2007
WATSON,11.63934426,62.13490176,26.22575397,ALP,2007
WENTWORTH,19.15216603,30.47738807,50.37044589,LNP,2007
WERRIWA,11.00489274,58.82825242,30.16685485,ALP,2007
WIDE BAY,20.70864286,30.70455025,48.58680689,LNP,2007
WILLS,18.55898489,56.89133234,24.54968278,ALP,2007
ADELAIDE,18.54019803,43.88605863,37.57374334,ALP,2010
ASTON,14.57137131,38.58306707,46.84556162,LNP,2010
BALLARAT,14.29577701,51.75482731,33.94939568,ALP,2010
BANKS,11.51438553,42.9646234,45.52099107,ALP,2010
BARKER,17.00116686,28.03967328,54.95915986,LNP,2010
BARTON,10.848595,48.48442484,40.66698016,ALP,2010
BASS,16.86055388,43.43073494,39.70871118,ALP,2010
BATMAN,27.72549475,52.37855492,19.89595032,ALP,2010
BENDIGO,16.51005257,47.65078849,35.83915894,ALP,2010
BENNELONG,14.35390505,37.11661454,48.52948042,LNP,2010
BEROWRA,17.97279642,22.04866782,59.97853577,LNP,2010
BLAIR,20.42528845,42.07930908,37.49540247,ALP,2010
BLAXLAND,15.38984526,51.18299747,33.42715727,ALP,2010
BONNER,17.55126879,36.07253697,46.37619424,LNP,2010
BOOTHBY,19.44258953,35.74901299,44.80839747,LNP,2010
